PING 192.168.58.1 (192.168.58.1) 56(84) bytes of data.
64 bytes from 192.168.58.1: icmp_seq=1 ttl=64 time=0.421 ms
64 bytes from 192.168.58.1: icmp_seq=2 ttl=64 time=0.506 ms
64 bytes from 192.168.58.1: icmp_seq=3 ttl=64 time=0.765 ms
64 bytes from 192.168.58.1: icmp_seq=4 ttl=64 time=0.540 ms
64 bytes from 192.168.58.1: icmp_seq=5 ttl=64 time=0.783 ms
64 bytes from 192.168.58.1: icmp_seq=6 ttl=64 time=0.801 ms
64 bytes from 192.168.58.1: icmp_seq=7 ttl=64 time=0.717 ms
64 bytes from 192.168.58.1: icmp_seq=8 ttl=64 time=0.500 ms
64 bytes from 192.168.58.1: icmp_seq=9 ttl=64 time=0.726 ms
64 bytes from 192.168.58.1: icmp_seq=10 ttl=64 time=0.659 ms
64 bytes from 192.168.58.1: icmp_seq=11 ttl=64 time=0.701 ms
64 bytes from 192.168.58.1: icmp_seq=12 ttl=64 time=0.469 ms
64 bytes from 192.168.58.1: icmp_seq=13 ttl=64 time=0.540 ms
64 bytes from 192.168.58.1: icmp_seq=14 ttl=64 time=0.792 ms
64 bytes from 192.168.58.1: icmp_seq=15 ttl=64 time=0.865 ms
64 bytes from 192.168.58.1: icmp_seq=16 ttl=64 time=0.424 ms
64 bytes from 192.168.58.1: icmp_seq=17 ttl=64 time=0.459 ms
64 bytes from 192.168.58.1: icmp_seq=18 ttl=64 time=0.820 ms
64 bytes from 192.168.58.1: icmp_seq=19 ttl=64 time=0.693 ms
64 bytes from 192.168.58.1: icmp_seq=20 ttl=64 time=0.951 ms
64 bytes from 192.168.58.1: icmp_seq=21 ttl=64 time=0.702 ms
64 bytes from 192.168.58.1: icmp_seq=22 ttl=64 time=0.834 ms
64 bytes from 192.168.58.1: icmp_seq=23 ttl=64 time=0.777 ms
64 bytes from 192.168.58.1: icmp_seq=24 ttl=64 time=0.786 ms
64 bytes from 192.168.58.1: icmp_seq=25 ttl=64 time=0.693 ms
64 bytes from 192.168.58.1: icmp_seq=26 ttl=64 time=0.457 ms
64 bytes from 192.168.58.1: icmp_seq=27 ttl=64 time=0.794 ms
64 bytes from 192.168.58.1: icmp_seq=28 ttl=64 time=0.532 ms
64 bytes from 192.168.58.1: icmp_seq=29 ttl=64 time=0.728 ms
64 bytes from 192.168.58.1: icmp_seq=30 ttl=64 time=0.508 ms
64 bytes from 192.168.58.1: icmp_seq=31 ttl=64 time=0.752 ms
64 bytes from 192.168.58.1: icmp_seq=32 ttl=64 time=0.784 ms
64 bytes from 192.168.58.1: icmp_seq=33 ttl=64 time=0.670 ms
